subunit_id	unit	subunit
102	1	1
103	1	2
104	1	3
105	2	1
106	2	2
107	2	3
108	3	1
109	3	2
110	3	3
111	3	4
112	4	1
113	4	2
114	4	3
115	5	1
116	5	2
117	5	3
118	6	1
119	6	2
120	6	3
121	7	1
122	7	2
123	7	3
124	9	1
125	9	2
126	9	3
127	9	4
128	9	5
129	12	1
130	12	2
131	12	3
132	13	1
133	13	2
134	13	3
135	14	1
136	14	2
137	14	3
138	14	4
139	15	1
140	15	2
141	15	3
142	15	4
143	16	1
144	16	2
145	16	3
146	17	1
147	17	2
148	17	3
149	17	4
150	18	1
151	18	2
152	18	3
153	19	1
154	19	2
155	21	1
156	21	2
157	21	3
158	22	1
159	22	2
160	22	3
161	23	1
162	23	2
163	23	3
164	23	4
165	24	1
166	24	2
167	24	3
168	25	1
169	25	2
170	25	3
171	25	4
172	26	1
173	26	2
174	26	3
175	26	4
176	27	1
177	27	2
178	27	3
179	28	1
180	28	2
181	28	3
182	28	4
183	29	1
184	29	2
185	29	3
186	29	4
187	30	1
188	30	2
189	30	3
190	31	1
191	31	2
192	31	3
193	32	1
194	32	2
195	32	3
196	33	1
197	33	2
198	33	3
199	33	4
200	34	1
201	34	2
202	34	3
203	35	1
204	35	2
205	35	3
206	36	1
207	36	2
208	36	3
209	37	1
210	37	2
211	37	3
212	38	1
213	38	2
214	38	3
215	38	4
216	39	1
217	39	2
218	40	1
219	40	2
220	40	3
221	40	4
222	41	1
223	41	2
224	41	3
225	42	1
226	42	2
227	43	1
228	43	2
229	43	3
230	44	1
231	44	2
232	44	3
233	44	4
234	47	1
235	47	2
236	47	3
237	47	4
238	48	1
239	48	2
240	48	3
241	49	1
242	49	2
243	49	3
244	50	1
245	50	2
246	50	3
247	50	4
248	51	1
249	51	2
250	51	3
251	51	4
252	52	1
253	52	2
254	52	3
255	53	1
256	53	2
257	53	3
258	53	4
259	54	1
260	54	2
261	54	3
262	55	1
263	55	2
264	55	3
265	55	4
266	56	1
267	56	2
268	57	1
269	57	2
270	57	3
271	57	4
272	57	5
273	58	1
274	58	2
275	59	1
276	59	2
277	59	3
278	59	4
279	60	1
280	60	2
281	60	3
282	60	4
283	61	1
284	61	2
285	62	1
286	62	2
287	63	1
288	63	2
289	63	3
290	63	4
291	66	1
292	66	2
293	66	3
294	70	1
295	70	2
296	70	3
297	71	1
298	71	2
299	71	3
300	72	1
301	72	2
302	73	1
303	73	2
304	78	1
305	78	2
306	78	3
307	79	1
308	79	2
309	79	3
310	80	1
311	80	2
312	80	3
313	82	1
314	82	2
315	82	3
316	83	1
317	83	2
318	83	3
319	84	1
320	84	2
321	84	3
322	87	1
323	87	2
324	87	3
325	88	1
326	89	1
327	89	2
328	89	3
329	90	1
330	90	2
331	90	3
332	91	1
333	91	2
334	91	3
335	92	1
336	92	2
337	93	1
338	93	2
339	93	3
340	94	1
341	94	2
342	95	1
343	95	2
344	96	1
345	96	2
346	96	3
347	97	1
348	98	1
349	98	2
350	98	3
351	99	1
352	99	2
353	99	3
354	100	1
355	101	1
356	101	2
357	101	3
358	102	1
359	102	2
360	102	3
361	103	1
362	103	2
363	103	3
